Ticker|EvalDate|Price|EntryTimeET|Change%|RelVol(TimeAdj63d)|Resistance|TP|RR_to_Res|RR_to_TP|SupportType|SupportPrice|Risk$|TPReward$|TPReward%|ResReward$|ResReward%|DailyATR|DailyCap|Hist21d_PassCount|Hist21d_Max%|Hist21d_Examples|ResLookbackDays|Prices|Session|EntrySrc|VolSrc|OptExpiry|BuyK|SellK|Width|DebitMid|DebitCons|MaxProfitMid|MaxProfitCons|RR_Spread_Mid|RR_Spread_Cons|BreakevenMid|PricingNote
UPS|2025-09-05|85.37|2025-09-05 09:51:19 ET|1.05|3.0|89.41|87.39|2.38|1.19|SwingLow21|83.67|1.7|2.02|2.37|4.04|4.73|1.685|35.385|52|8.94|2024-12-19:+8.94%; 2025-02-05:+8.69%; 2025-06-02:+8.4%|21|88.82,87.74,87.46,87.86,87.27,87.44,85.23,85.29,84.48,85.37|OPEN|daily_partial_close|daily_partial|2025-10-03|86.0|87.0|1.0|0.0|0.0|1.0|1.0|||86.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
SBUX|2025-09-05|87.19|2025-09-05 09:51:04 ET|0.21|1.58|94.85|91.02|4.73|2.36|SwingLow21|85.57|1.6199|3.83|4.39|7.6601|8.79|1.9861|41.7075|64|21.41|2025-01-14:+21.41%; 2025-01-03:+21.25%; 2025-01-15:+20.92%|21|88.38,85.81,86.63,87.66,88.02,88.19,89.78,87.25,87.01,87.19|OPEN|daily_partial_close|daily_partial|2025-10-03|86.0|91.0|5.0|0.0|0.0|5.0|5.0|||86.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
UBER|2025-09-05|92.04|2025-09-05 09:51:16 ET|0.06|1.94|97.54|94.79|12.81|6.4|PivotLow|91.61|0.4295|2.7503|2.99|5.5005|5.98|2.5343|53.22|117|32.82|2025-04-04:+32.82%; 2025-04-07:+27.44%; 2025-04-11:+26.9%|21|96.79,95.16,96.53,95.33,95.96,93.75,92.81,92.94,91.98,92.04|OPEN|daily_partial_close|daily_partial|2025-10-03|90.0|95.0|5.0|0.0|0.0|5.0|5.0|||90.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
TGT|2025-09-05|93.43|2025-09-05 09:51:09 ET|0.78|1.64|107.82|100.63|8.24|4.12|SwingLow21|91.69|1.745|7.1925|7.7|14.385|15.4|2.9519|61.9893|18|13.0|2025-06-02:+13.0%; 2025-06-20:+11.51%; 2025-06-23:+11.29%|21|99.24,97.13,96.11,97.96,96.81,95.98,92.44,92.35,92.71,93.43|OPEN|daily_partial_close|daily_partial|2025-10-03|96.0|101.0|5.0|0.0|0.0|5.0|5.0|||96.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
EBAY|2025-09-05|93.93|2025-09-05 09:49:22 ET|0.97|1.77|101.15|97.54|2.36|1.18|ATR1.5x|90.87|3.0595|3.61|3.84|7.22|7.69|2.0396|42.8325|106|31.14|2025-07-17:+31.14%; 2025-07-15:+30.5%; 2025-07-16:+28.03%|21|99.22,98.55,94.64,93.67,92.8,90.61,89.89,90.16,93.03,93.93|OPEN|daily_partial_close|daily_partial|2025-10-03|93.0|98.0|5.0|0.0|0.0|5.0|5.0|||93.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
DELL|2025-09-05|127.51|2025-09-05 09:49:16 ET|0.66|1.62|142.11|134.81|2.32|1.16|ATR1.5x|121.23|6.2807|7.3|5.73|14.6|11.45|4.1871|87.93|96|38.65|2025-04-21:+38.65%; 2025-04-16:+36.98%; 2025-04-17:+34.76%|21|130.84,131.01,130.99,132.5,134.05,122.15,120.96,124.02,126.67,127.51|OPEN|daily_partial_close|daily_partial|2025-10-03|130.0|135.0|5.0|0.0|0.0|5.0|5.0|||130.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
KKR|2025-09-05|137.89|2025-09-05 09:50:04 ET|0.39|1.69|149.3|143.6|2.51|1.25|SwingLow21|133.34|4.55|5.705|4.14|11.41|8.27|3.175|66.675|109|26.74|2025-04-21:+26.74%; 2025-04-08:+25.63%; 2025-04-14:+25.11%|21|141.77,138.71,140.08,140.47,140.09,139.49,138.74,134.83,137.35,137.89|OPEN|daily_partial_close|daily_partial|2025-10-03|139.0|142.0|3.0|0.0|0.0|3.0|3.0|||139.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
STZ|2025-09-05|148.0|2025-09-05 09:49:09 ET|1.45|1.79|174.32|161.16|8.25|4.13|SwingLow21|144.81|3.19|13.16|8.89|26.32|17.78|4.52|94.9199|10|12.59|2025-02-12:+12.59%; 2025-02-13:+12.51%; 2025-04-08:+11.95%|21|167.62,163.68,158.37,160.5,159.09,161.94,151.26,146.49,145.88,148.0|OPEN|daily_partial_close|daily_partial|2025-10-03|155.0|160.0|5.0|0.0|0.0|5.0|5.0|||155.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
EPAM|2025-09-05|171.24|2025-09-05 09:49:26 ET|1.87|2.2|177.66|174.45|2.97|1.48|PivotLow|169.07|2.165|3.2125|1.88|6.425|3.75|5.4571|114.6|86|30.1|2024-10-25:+30.1%; 2024-10-28:+30.0%; 2024-10-31:+29.23%|21|174.95,172.51,170.28,173.55,174.18,176.36,174.7,174.05,168.09,171.24|OPEN|daily_partial_close|daily_partial|2025-10-17|170.0|175.0|5.0|0.0|0.0|5.0|5.0|||170.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
MKTX|2025-09-05|184.27|2025-09-05 09:50:13 ET|2.3|1.95|200.9|192.59|2.86|1.43|ATR1.5x|178.47|5.8093|8.3125|4.51|16.625|9.02|3.8729|81.33|52|14.76|2024-10-01:+14.76%; 2025-02-20:+14.26%; 2025-02-26:+14.18%|21|188.73,190.15,189.78,187.51,182.55,183.84,180.2,181.59,180.13,184.27|OPEN|daily_partial_close|daily_partial|2025-10-17|190.0|195.0|5.0|0.0|0.0|5.0|5.0|||190.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
TXN|2025-09-05|187.34|2025-09-05 09:51:11 ET|0.03|3.56|209.09|198.21|3.85|1.92|SwingLow21|181.69|5.65|10.875|5.8|21.75|11.61|4.9568|104.0925|67|29.6|2025-04-21:+29.6%; 2025-04-16:+28.63%; 2025-04-11:+27.51%|21|206.06,205.97,205.98,205.47,204.09,202.48,199.81,195.74,187.29,187.34|OPEN|daily_partial_close|daily_partial|2025-10-03|195.0|200.0|5.0|0.0|0.0|5.0|5.0|||195.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
AMT|2025-09-05|197.26|2025-09-05 09:48:30 ET|1.11|5.36|214.79|206.02|4.16|2.08|SwingLow21|193.05|4.21|8.765|4.44|17.53|8.89|4.3171|90.6598|46|13.63|2025-02-19:+13.63%; 2025-02-14:+13.46%; 2025-02-05:+13.25%|21|211.88,211.12,207.45,203.27,202.56,203.85,200.49,196.26,195.09,197.26|OPEN|daily_partial_close|daily_partial|2025-10-17|200.0|210.0|10.0|0.0|0.0|10.0|10.0|||200.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
SBAC|2025-09-05|197.63|2025-09-05 09:50:59 ET|1.26|2.44|225.33|211.48|5.92|2.96|SwingLow21|192.95|4.68|13.85|7.01|27.7|14.02|5.6518|118.6875|24|13.45|2025-04-08:+13.45%; 2025-04-09:+12.99%; 2025-04-07:+12.07%|21|222.87,221.57,218.84,208.13,206.04,204.85,202.0,199.31,195.17,197.63|OPEN|daily_partial_close|daily_partial||||||||||||no_lower_strike
HON|2025-09-05|215.93|2025-09-05 09:49:48 ET|0.36|2.29|223.08|219.5|7.69|3.84|PivotLow|215.0|0.93|3.575|1.66|7.15|3.31|2.99|62.79|95|17.32|2025-04-08:+17.32%; 2025-04-21:+15.87%; 2025-04-16:+15.31%|21|222.83,220.61,222.56,221.25,221.35,219.5,217.6,214.0,215.16,215.93|OPEN|daily_partial_close|daily_partial|2025-10-03|215.0|220.0|5.0|0.0|0.0|5.0|5.0|||215.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
FDX|2025-09-05|227.55|2025-09-05 09:49:34 ET|1.01|1.6|238.09|232.82|3.68|1.84|PivotLow|224.69|2.865|5.2675|2.31|10.535|4.63|5.1107|107.325|73|12.86|2025-04-10:+12.86%; 2025-04-16:+12.75%; 2024-10-25:+12.14%|21|236.8,233.0,231.1,232.21,231.27,231.07,224.18,225.34,225.28,227.55|OPEN|daily_partial_close|daily_partial|2025-10-03|230.0|235.0|5.0|0.0|0.0|5.0|5.0|||230.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
ORCL|2025-09-05|229.64|2025-09-05 09:50:39 ET|2.98|3.39|257.87|243.75|2.6|1.3|SwingLow21|218.79|10.85|14.115|6.15|28.23|12.29|7.2744|152.7618|104|40.31|2025-06-03:+40.31%; 2025-06-04:+38.17%; 2025-06-02:+38.07%|21|236.37,235.41,234.21,235.81,240.32,226.13,225.3,223.45,223.0,229.64|OPEN|daily_partial_close|daily_partial|2025-10-03|240.0|245.0|5.0|0.0|0.0|5.0|5.0|||240.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
IT|2025-09-05|243.22|2025-09-05 09:49:39 ET|2.74|2.19|252.13|247.68|4.11|2.05|PivotLow|241.05|2.17|4.455|1.83|8.91|3.66|6.025|126.525|63|15.88|2025-04-08:+15.88%; 2025-04-07:+14.45%; 2025-04-21:+14.12%|21|249.9,241.47,243.13,246.36,247.73,251.19,250.91,247.58,236.73,243.22|OPEN|daily_partial_close|daily_partial|2025-10-17|240.0|250.0|10.0|0.0|0.0|10.0|10.0|||240.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
AMGN|2025-09-05|283.13|2025-09-05 09:48:31 ET|1.08|2.72|301.47|292.3|34.6|17.3|PivotLow|282.6|0.53|9.17|3.24|18.34|6.48|4.8336|101.5051|64|17.84|2025-01-03:+17.84%; 2025-01-06:+15.16%; 2025-01-24:+14.6%|21|293.72,288.47,289.58,287.97,285.61,287.71,286.92,283.85,280.1,283.13|OPEN|daily_partial_close|daily_partial|2025-10-03|280.0|290.0|10.0|0.0|0.0|10.0|10.0|||280.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
COIN|2025-09-05|308.05|2025-09-05 09:49:05 ET|0.41|2.39|345.39|326.72|2.95|1.48|PivotLow|295.4|12.65|18.67|6.06|37.34|12.12|12.2329|256.8901|118|83.83|2024-10-11:+83.83%; 2024-11-04:+77.67%; 2024-11-01:+69.15%|21|319.85,306.0,308.48,308.97,308.47,304.54,303.56,302.31,306.8,308.05|OPEN|daily_partial_close|daily_partial|2025-10-03|320.0|325.0|5.0|0.0|0.0|5.0|5.0|||320.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CRWD|2025-09-05|413.77|2025-09-05 09:49:12 ET|0.32|2.11|451.98|432.88|8.58|4.29|PivotLow|409.31|4.455|19.11|4.62|38.22|9.24|13.34|280.1396|125|37.8|2025-04-04:+37.8%; 2025-04-08:+31.87%; 2025-01-14:+30.38%|21|420.55,418.83,417.6,422.61,442.0,423.7,413.5,413.2,412.46,413.77|OPEN|daily_partial_close|daily_partial|2025-10-03|430.0|435.0|5.0|0.0|0.0|5.0|5.0|||430.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
DE|2025-09-05|477.19|2025-09-05 09:49:15 ET|0.48|1.93|516.28|496.74|3.75|1.87|SwingLow21|466.76|10.43|19.545|4.1|39.09|8.19|9.9661|209.2876|78|19.2|2025-04-21:+19.2%; 2025-04-08:+18.64%; 2025-04-16:+17.47%|21|495.99,487.9,487.76,493.08,491.44,478.64,476.78,469.52,474.9,477.19|OPEN|daily_partial_close|daily_partial|2025-10-03|490.0|500.0|10.0|0.0|0.0|10.0|10.0|||490.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
REGN|2025-09-05|572.2|2025-09-05 09:50:54 ET|0.88|2.21|610.45|591.32|7.48|3.74|PivotLow|567.08|5.115|19.1275|3.34|38.255|6.69|17.1818|360.8176|42|13.39|2025-06-05:+13.39%; 2025-06-03:+12.2%; 2025-06-06:+12.04%|21|589.48,572.38,587.65,586.96,579.61,580.7,577.9,563.8,567.22,572.2|OPEN|daily_partial_close|daily_partial|2025-10-03|570.0|590.0|20.0|0.0|0.0|20.0|20.0|||570.0|ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid

Processed at 2025-09-05 09:51:36 ET
[run_and_log] wrote /home/runner/work/sp500scn/sp500scn/data/history/pass_20250905-135136.csv
